item_id,company_name,item_name,protein_option,price,description,added_date,last_modified_date,discontinued_date
Title,Family Meal Kits,,
2,Chuys,Family Meal Kits,Fajita Kit,$65.00,"-Fajitas for 4 - Chicken, Beef or Combo -Lettuce, Pico de Gallo, Mixe...",2023-09-28,2023-09-28,none
3,Chuys,Family Meal Kits,Taco Kit,,-6 or 12 Crispy Taco Shells or Soft Flour Tortillas -Choice of Ground...,2023-09-28,2023-09-28,none
4,Chuys,Family Meal Kits,"Peace, Love & Enchiladas Kit",$55.00,"-8 Enchiladas - Cheese, Roasted Chicken or Ground Beef with your Choic...",2023-09-28,2023-09-28,none
5,Chuys,Family Meal Kits,Kick It Up a Nacho Kit - Take Happy Hour Home!,$35.00,"-Chips, Queso, Ground Beef, Refried Beans, Salsa Fresca and Creamy Jal...",2023-09-28,2023-09-28,none
Title,Ritas & More,,
7,Chuys,Ritas & More,Margarita Kits,,"Chuy's Famous Margaritas To Go! Chuy's Sour Mix, lime, and your choic...",2023-09-28,2023-09-28,none
8,Chuys,Ritas & More,Gallon Frozen Margarita,,"A gallon of Chuy's Famous Frozen Margaritas To Go! Sour Mix, Tequila, ...",2023-09-28,2023-09-28,none
9,Chuys,Ritas & More,Chuy's Famous Ritas (pre-mixed),,"10oz of Chuy's Famous Margaritas, pre-mixed with tequila, served with ...",2023-09-28,2023-09-28,none
10,Chuys,Ritas & More,LARGE Chuy's Famous Ritas (pre-mixed),,"A Large Chuy's Famous Margarita, pre-mixed with tequila, served with s...",2023-09-28,2023-09-28,none
11,Chuys,Ritas & More,Paloma,$12.00,"Cazadores Reposado tequila, Deep Eddy Ruby Red Vodka, Owen’s Grapefrui...",2023-09-28,2023-09-28,none
12,Chuys,Ritas & More,Wild Berry Mexican Mule,$11.50,"Teremana Blanco tequila, blackberry and raspberry purees, lemon juice ...",2023-09-28,2023-09-28,none
13,Chuys,Ritas & More,Smashin' Peachy,$13.75,"Botanist gin, Don Julio Blanco tequila, peach puree, fresh mint, and O...",2023-09-28,2023-09-28,none
14,Chuys,Ritas & More,New Mexican Martini,$11.50,10oz of our el Jimador Silver tequila infused with green chiles and Co...,2023-09-28,2023-09-28,none
15,Chuys,Ritas & More,LARGE New Mexican Martini,$15.00,Large version of our el Jimador Silver tequila infused with green chil...,2023-09-28,2023-09-28,none
16,Chuys,Ritas & More,32oz Margarita Mix (non-alcoholic),$5.00,,2023-09-28,2023-09-28,none
17,Chuys,Ritas & More,Domestic Beer,,,2023-09-28,2023-09-28,none
18,Chuys,Ritas & More,Premium Beer,,,2023-09-28,2023-09-28,none
19,Chuys,Ritas & More,Canyon Road Chardonnay (bottle),$23.00,,2023-09-28,2023-09-28,none
20,Chuys,Ritas & More,ECCO Domani Pinot Grigio (bottle),$26.00,,2023-09-28,2023-09-28,none
21,Chuys,Ritas & More,Canyon Road Pinot Noir (bottle),$23.00,,2023-09-28,2023-09-28,none
22,Chuys,Ritas & More,Dark Horse Cabernet (bottle),$26.00,,2023-09-28,2023-09-28,none
23,Chuys,Ritas & More,Tito's Cherry Limeade Kit,$30.00,,2023-09-28,2023-09-28,none
Title,Appetizers,,
25,Chuys,Appetizers,Queso,,"Blend of melted cheese, Green Chile sauce and Ranchero sauce.",2023-09-28,2023-09-28,none
26,Chuys,Appetizers,Guacamole,$8.36,"Fresh avocados & Salsa Fresca, all mashed up.",2023-09-28,2023-09-28,none
27,Chuys,Appetizers,Nachos,,"Tostada chips, refried beans and cheese, with lettuce, pico de gallo &...",2023-09-28,2023-09-28,none
28,Chuys,Appetizers,Panchos,,"Nachos with your choice of fajita chicken, fajita beef or seasoned gro...",2023-09-28,2023-09-28,none
29,Chuys,Appetizers,Quesadillas,,"Flour tortillas stuffed with cheese, green chiles and onion. Served w...",2023-09-28,2023-09-28,none
Title,Soup & Salads,,
31,Chuys,Soup & Salads,Mexi-Cobb Salad,,"Fajita chicken, green chiles, cheese, avocados and tomatoes on a bed o...",2023-09-28,2023-09-28,none
32,Chuys,Soup & Salads,Taco Salad,,"Fresh salad mix with tortilla strips, cheese, guacamole, tomatoes & yo...",2023-09-28,2023-09-28,none
33,Chuys,Soup & Salads,Tortilla Soup,,"Homemade chicken broth with roasted chicken, corn, green chiles, tomat...",2023-09-28,2023-09-28,none
Title,Burritos,,
35,Chuys,Burritos,Steak Burrito,$13.66,"A flour tortilla stuffed with grilled steak and jack cheese, topped wi...",2023-09-28,2023-09-28,none
